College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Project_Rank_in_CGPA
clg0061,99.0,8.67,8.87,6.0,no,3.0,8.0,2.0,yes,4.0
clg0066,96.0,5.1,4.7,2.0,no,10.0,3.0,2.0,no,4.0
clg0075,104.0,6.95,7.1,9.0,no,3.0,8.0,3.0,no,2.0
clg0085,113.0,9.97,7.56,8.0,no,0.0,6.0,1.0,no,5.0
clg0082,87.0,7.21,7.56,8.0,no,10.0,9.0,0.0,no,6.0
clg0084,112.0,7.23,7.44,9.0,yes,8.0,7.0,3.0,no,3.0
clg0058,73.0,5.09,5.27,2.0,yes,8.0,4.0,1.0,no,4.0
clg0038,72.0,8.75,8.32,5.0,no,7.0,8.0,0.0,no,6.0
clg0004,89.0,6.25,7.56,3.0,no,1.0,4.0,2.0,no,4.0
clg0043,109.0,7.66,7.21,2.0,yes,4.0,7.0,1.0,no,4.0
clg0037,107.0,9.56,9.71,6.0,no,8.0,4.0,5.0,no,1.0
clg0006,103.0,6.38,6.22,3.0,no,6.0,6.0,5.0,no,1.0
clg0086,68.0,6.15,6.07,4.0,yes,1.0,10.0,3.0,no,3.0
clg0063,98.0,6.27,6.26,4.0,yes,0.0,4.0,2.0,no,4.0
clg0093,106.0,5.94,5.75,7.0,yes,9.0,7.0,5.0,no,1.0
clg0056,114.0,7.6,7.31,10.0,no,4.0,4.0,0.0,no,6.0
clg0067,108.0,5.17,7.56,4.0,yes,9.0,3.0,0.0,no,6.0
clg0086,105.0,5.17,5.58,3.0,yes,5.0,7.0,4.0,no,2.0
clg0061,97.0,6.84,6.86,10.0,yes,0.0,3.0,5.0,no,1.0
clg0041,93.0,5.47,5.16,8.0,yes,8.0,4.0,2.0,no,4.0
clg0096,120.0,5.7,7.56,9.0,yes,6.0,8.0,5.0,no,1.0
clg0057,109.0,9.63,9.97,2.0,yes,7.0,5.0,5.0,no,1.0
clg0005,75.0,6.91,7.0,6.0,no,3.0,6.0,3.0,no,3.0
clg0072,99.0,7.12,6.71,10.0,no,8.0,2.0,3.0,no,3.0
clg0082,121.0,7.69,8.04,7.0,no,3.0,7.0,2.0,yes,3.0
clg0001,132.0,7.09,7.31,3.0,yes,3.0,1.0,2.0,no,4.0
clg0019,109.0,5.23,5.03,9.0,yes,5.0,8.0,5.0,no,1.0
clg0025,75.0,6.3,6.76,2.0,no,4.0,4.0,5.0,no,1.0
clg0078,100.0,5.21,5.0,3.0,yes,3.0,6.0,4.0,no,2.0
clg0014,79.0,5.18,4.92,6.0,yes,10.0,6.0,4.0,no,2.0
clg0062,106.0,5.3,5.39,1.0,no,6.0,7.0,5.0,no,1.0
clg0057,99.0,7.14,7.56,1.0,yes,5.0,4.0,4.0,no,2.0
clg0019,110.0,8.07,8.45,7.0,yes,5.0,9.0,4.0,yes,2.0
clg0008,90.0,7.87,7.72,9.0,no,3.0,10.0,3.0,no,3.0
clg0021,98.0,5.54,5.86,7.0,yes,5.0,5.0,1.0,no,4.0
clg0068,99.0,7.55,7.56,2.0,no,5.0,6.0,5.0,no,1.0
clg0041,121.0,10.0,9.69,5.0,no,6.0,3.0,5.0,yes,1.0
clg0024,99.0,7.73,7.56,5.0,yes,4.0,2.0,5.0,no,1.0
clg0083,113.0,9.96,9.74,9.0,yes,9.0,5.0,2.0,yes,4.0
clg0036,75.0,6.97,7.19,1.0,no,10.0,3.0,5.0,no,1.0
clg0007,91.0,7.63,8.02,9.0,no,5.0,8.0,3.0,no,3.0
clg0075,122.0,8.91,8.69,3.0,no,5.0,6.0,4.0,yes,2.0
clg0022,121.0,6.84,6.7,4.0,no,2.0,1.0,3.0,no,3.0
clg0045,91.0,6.06,6.54,1.0,no,5.0,8.0,3.0,no,3.0
clg0033,88.0,6.46,7.56,9.0,no,6.0,6.0,0.0,no,6.0
clg0082,85.0,8.14,8.61,7.0,yes,9.0,2.0,4.0,no,2.0
clg0020,88.0,8.33,8.72,4.0,no,8.0,9.0,1.0,no,5.0
clg0062,122.0,8.87,8.73,10.0,yes,0.0,9.0,2.0,yes,4.0
clg0055,127.0,7.55,7.56,7.0,yes,2.0,5.0,0.0,no,6.0
clg0074,116.0,6.26,5.94,4.0,no,5.0,6.0,3.0,no,2.0
clg0067,98.0,5.42,7.56,3.0,no,8.0,6.0,4.0,no,2.0
clg0002,82.0,7.55,8.39,10.0,no,6.0,6.0,5.0,no,1.0
clg0089,104.0,8.34,7.56,2.0,yes,0.0,6.0,4.0,no,2.0
clg0063,98.0,9.73,9.35,3.0,no,4.0,2.0,4.0,no,2.0
clg0038,99.0,8.29,7.56,4.0,no,1.0,9.0,3.0,yes,3.0
clg0062,104.0,7.18,7.33,6.0,yes,10.0,4.0,3.0,no,3.0
clg0012,90.0,8.18,8.39,6.0,yes,6.0,6.0,2.0,no,4.0
clg0009,88.0,9.61,9.37,8.0,yes,2.0,6.0,1.0,no,5.0
clg0065,120.0,8.76,9.25,10.0,no,5.0,7.0,5.0,yes,1.0
clg0004,99.0,7.28,7.03,9.0,no,1.0,9.0,3.0,no,3.0
clg0068,84.0,9.21,9.19,9.0,no,7.0,5.0,4.0,no,2.0
clg0096,91.0,7.55,6.77,3.0,no,0.0,2.0,4.0,no,2.0
clg0057,86.0,8.51,8.78,2.0,no,10.0,4.0,5.0,no,1.0
clg0062,126.0,7.92,8.34,2.0,yes,0.0,5.0,3.0,yes,3.0
clg0039,87.0,8.91,9.08,4.0,yes,2.0,5.0,5.0,no,1.0
clg0062,92.0,9.49,9.09,4.0,yes,10.0,10.0,5.0,yes,1.0
clg0053,99.0,7.55,5.92,4.0,yes,3.0,6.0,3.0,no,3.0
clg0085,101.0,7.55,7.67,5.0,no,4.0,9.0,1.0,no,5.0
clg0075,110.0,9.08,8.6,9.0,no,2.0,1.0,5.0,no,1.0
clg0073,99.0,7.47,7.29,3.0,yes,10.0,5.0,3.0,no,3.0
clg0052,83.0,7.62,8.11,3.0,no,2.0,6.0,3.0,no,3.0
clg0020,100.0,9.78,9.58,10.0,no,4.0,1.0,1.0,no,5.0
clg0069,102.0,8.47,8.29,6.0,no,5.0,9.0,2.0,yes,4.0
clg0072,103.0,6.33,6.74,10.0,no,2.0,1.0,3.0,no,3.0
clg0072,96.0,5.07,4.67,9.0,no,4.0,4.0,0.0,no,1.0
clg0081,81.0,5.96,5.95,4.0,yes,1.0,1.0,4.0,no,2.0
clg0049,104.0,7.46,7.56,5.0,yes,7.0,10.0,3.0,no,3.0
clg0049,81.0,7.55,7.56,4.0,no,6.0,6.0,0.0,no,6.0
clg0062,95.0,8.45,8.04,5.0,yes,9.0,1.0,4.0,no,1.0
clg0003,100.0,7.05,7.46,5.0,yes,10.0,2.0,5.0,no,1.0
clg0008,88.0,8.73,8.41,10.0,yes,8.0,5.0,1.0,no,5.0
clg0062,109.0,8.62,8.63,2.0,no,8.0,6.0,4.0,no,2.0
clg0031,110.0,9.01,8.6,9.0,no,10.0,1.0,3.0,no,2.0
clg0027,99.0,9.16,8.97,2.0,yes,10.0,3.0,0.0,no,6.0
clg0062,115.0,7.73,7.85,7.0,yes,7.0,3.0,4.0,no,1.0
clg0065,108.0,7.55,8.51,5.0,yes,1.0,3.0,3.0,no,3.0
clg0028,110.0,9.4,9.48,10.0,yes,10.0,10.0,3.0,yes,3.0
clg0030,80.0,9.74,9.31,5.0,yes,4.0,4.0,5.0,no,1.0
clg0053,97.0,8.61,8.93,6.0,no,5.0,4.0,1.0,no,5.0
clg0029,102.0,5.54,7.56,7.0,no,6.0,6.0,1.0,no,5.0
clg0076,113.0,8.73,8.98,6.0,no,1.0,10.0,3.0,yes,2.0
clg0083,99.0,7.71,7.5,9.0,no,4.0,7.0,1.0,no,5.0
clg0036,101.0,5.78,5.44,10.0,yes,9.0,5.0,1.0,no,5.0
clg0005,100.0,7.26,7.49,5.0,yes,1.0,6.0,2.0,no,4.0
clg0062,108.0,6.0,5.67,3.0,yes,5.0,6.0,1.0,no,4.0
clg0034,99.0,7.3,7.41,6.0,no,5.0,4.0,2.0,no,4.0
clg0070,94.0,8.73,9.22,8.0,yes,0.0,4.0,5.0,no,1.0
clg0015,102.0,8.67,8.28,1.0,no,5.0,6.0,2.0,no,4.0
clg0092,109.0,7.8,7.77,7.0,no,0.0,8.0,1.0,no,4.0
clg0071,72.0,8.73,7.56,6.0,yes,5.0,6.0,0.0,no,6.0
clg0061,113.0,6.92,7.28,9.0,yes,7.0,4.0,5.0,no,1.0
clg0062,95.0,7.02,6.95,2.0,yes,0.0,10.0,5.0,no,1.0
clg0062,112.0,7.89,7.63,4.0,yes,1.0,9.0,2.0,yes,3.0
clg0047,110.0,8.3,8.58,9.0,no,8.0,6.0,1.0,no,5.0
clg0096,104.0,6.88,7.56,4.0,no,8.0,10.0,0.0,no,6.0
clg0052,83.0,7.6,7.21,9.0,no,5.0,1.0,1.0,no,4.0
clg0062,98.0,7.42,7.32,6.0,no,5.0,6.0,4.0,no,2.0
clg0095,87.0,7.55,7.83,9.0,yes,0.0,6.0,5.0,no,1.0
clg0075,100.0,7.72,7.23,4.0,no,4.0,1.0,2.0,no,2.0
clg0081,95.0,8.47,8.79,3.0,yes,3.0,3.0,5.0,no,1.0
clg0021,95.0,7.55,6.08,3.0,no,5.0,10.0,5.0,no,1.0
clg0064,101.0,9.55,9.79,7.0,no,4.0,6.0,1.0,no,5.0
clg0044,85.0,9.53,9.25,8.0,no,5.0,3.0,1.0,no,5.0
clg0100,96.0,6.86,6.99,4.0,no,9.0,5.0,4.0,no,2.0
clg0062,67.0,9.02,9.39,7.0,yes,7.0,9.0,3.0,yes,3.0
clg0094,111.0,7.96,7.95,5.0,no,4.0,6.0,0.0,no,6.0
clg0085,93.0,8.95,8.92,7.0,no,7.0,9.0,4.0,yes,2.0
clg0022,100.0,9.16,9.15,5.0,no,9.0,9.0,1.0,no,5.0
clg0063,87.0,9.8,9.93,7.0,yes,7.0,5.0,0.0,no,5.0
clg0026,114.0,5.95,5.69,10.0,no,3.0,6.0,5.0,no,1.0
clg0062,106.0,6.15,6.47,9.0,yes,9.0,5.0,2.0,no,4.0
clg0034,92.0,6.3,7.56,5.0,yes,3.0,6.0,5.0,no,1.0
clg0065,99.0,9.99,9.62,10.0,no,1.0,6.0,0.0,no,6.0
clg0071,103.0,6.07,6.16,10.0,no,8.0,5.0,5.0,no,1.0
clg0038,105.0,6.3,6.35,2.0,yes,3.0,5.0,3.0,no,2.0
clg0073,83.0,9.48,9.83,8.0,no,3.0,5.0,3.0,no,3.0
clg0083,93.0,6.12,6.5,2.0,no,5.0,7.0,2.0,no,3.0
clg0040,97.0,8.63,8.56,6.0,yes,8.0,6.0,1.0,no,5.0
clg0040,100.0,9.86,10.0,7.0,yes,8.0,1.0,5.0,no,1.0
clg0009,100.0,5.32,4.94,9.0,yes,5.0,10.0,0.0,no,6.0
clg0053,86.0,5.29,5.29,9.0,yes,6.0,1.0,4.0,no,2.0
clg0072,93.0,8.83,7.56,10.0,no,7.0,8.0,0.0,no,6.0
clg0038,94.0,6.78,6.43,6.0,yes,0.0,4.0,1.0,no,5.0
clg0089,85.0,6.47,6.12,10.0,yes,8.0,7.0,5.0,no,1.0
clg0089,97.0,5.9,7.56,2.0,no,3.0,3.0,1.0,no,5.0
clg0073,89.0,5.09,4.77,6.0,yes,7.0,3.0,3.0,no,1.0
clg0046,88.0,6.64,6.37,4.0,yes,9.0,5.0,2.0,no,4.0
clg0062,111.0,9.98,10.03,9.0,yes,5.0,8.0,1.0,yes,4.0
clg0088,98.0,9.77,9.58,4.0,no,4.0,3.0,0.0,no,6.0
clg0089,88.0,6.49,6.41,5.0,no,10.0,7.0,5.0,no,1.0
clg0060,112.0,9.41,7.56,1.0,no,5.0,6.0,1.0,no,5.0
clg0088,67.0,5.99,5.78,10.0,no,5.0,7.0,1.0,no,5.0
clg0027,111.0,9.51,9.04,7.0,yes,4.0,10.0,2.0,yes,4.0
clg0014,109.0,7.55,9.33,3.0,yes,7.0,8.0,0.0,no,6.0
clg0071,107.0,8.36,8.7,2.0,no,0.0,7.0,4.0,no,2.0
clg0062,92.0,9.51,9.55,10.0,no,5.0,9.0,4.0,yes,2.0
clg0097,124.0,8.68,8.37,4.0,no,0.0,6.0,1.0,no,5.0
clg0041,113.0,8.6,8.83,1.0,no,3.0,9.0,0.0,yes,5.0
clg0069,94.0,9.52,7.56,4.0,yes,4.0,7.0,1.0,no,5.0
clg0060,98.0,6.87,7.24,6.0,no,9.0,4.0,4.0,no,1.0
clg0032,91.0,8.97,9.07,8.0,no,8.0,7.0,2.0,no,4.0
clg0062,105.0,7.05,7.56,1.0,no,0.0,7.0,4.0,no,2.0
clg0048,83.0,5.88,5.43,5.0,no,5.0,5.0,1.0,no,5.0
clg0033,93.0,8.35,7.56,10.0,no,2.0,5.0,5.0,no,1.0
clg0005,104.0,9.51,9.9,7.0,no,0.0,6.0,1.0,no,5.0
clg0051,104.0,5.41,5.29,8.0,no,1.0,10.0,2.0,no,4.0
clg0049,85.0,7.48,7.62,6.0,no,3.0,7.0,4.0,no,2.0
clg0017,76.0,9.06,9.3,9.0,no,2.0,6.0,0.0,no,5.0
clg0062,121.0,8.67,7.56,8.0,no,10.0,10.0,5.0,yes,1.0
clg0062,99.0,5.5,5.35,5.0,no,7.0,10.0,4.0,no,1.0
clg0030,95.0,7.57,7.35,6.0,yes,9.0,3.0,2.0,no,4.0
clg0005,102.0,8.93,8.78,5.0,yes,9.0,6.0,2.0,no,4.0
clg0028,99.0,8.35,8.26,6.0,no,5.0,5.0,2.0,no,3.0
clg0055,81.0,7.7,7.56,5.0,yes,2.0,6.0,5.0,no,1.0
clg0065,102.0,6.34,6.46,1.0,no,1.0,1.0,0.0,no,6.0
clg0062,103.0,5.95,6.24,5.0,no,2.0,10.0,3.0,no,2.0
clg0043,99.0,5.32,5.16,4.0,no,0.0,5.0,4.0,no,2.0
clg0093,108.0,5.86,6.35,5.0,no,3.0,6.0,5.0,no,1.0
clg0048,99.0,5.39,5.34,1.0,yes,0.0,8.0,3.0,no,2.0
clg0068,116.0,5.01,4.66,9.0,no,4.0,6.0,1.0,no,3.0
clg0015,84.0,9.41,9.14,8.0,no,1.0,5.0,5.0,no,1.0
clg0062,105.0,5.27,4.92,6.0,yes,8.0,3.0,4.0,no,2.0
clg0045,86.0,7.66,7.56,6.0,yes,9.0,6.0,5.0,no,1.0
clg0043,85.0,7.55,5.58,10.0,no,6.0,2.0,5.0,no,1.0
clg0056,96.0,9.56,9.28,8.0,yes,8.0,7.0,5.0,no,1.0
clg0062,99.0,7.77,7.89,7.0,no,10.0,9.0,1.0,no,3.0
clg0040,99.0,5.84,5.46,8.0,no,5.0,5.0,3.0,no,3.0
clg0028,92.0,8.58,8.26,4.0,no,9.0,2.0,4.0,no,2.0
clg0068,99.0,7.55,9.83,3.0,yes,9.0,8.0,2.0,yes,4.0
clg0094,99.0,9.7,9.74,10.0,no,0.0,3.0,3.0,no,3.0
clg0062,83.0,7.83,8.12,4.0,yes,6.0,1.0,3.0,no,3.0
clg0062,112.0,7.55,9.69,2.0,no,9.0,1.0,5.0,yes,1.0
clg0062,126.0,7.34,7.36,3.0,no,7.0,6.0,1.0,no,5.0
clg0045,98.0,8.19,7.77,4.0,no,2.0,5.0,3.0,no,2.0
clg0062,107.0,9.56,9.85,3.0,no,5.0,6.0,1.0,no,5.0
clg0042,126.0,6.05,7.56,4.0,no,5.0,4.0,5.0,no,1.0
clg0012,80.0,6.45,6.76,6.0,no,0.0,7.0,2.0,no,4.0
clg0097,101.0,8.69,8.29,6.0,no,9.0,5.0,4.0,no,2.0
clg0080,90.0,6.29,7.56,9.0,yes,2.0,3.0,3.0,no,3.0
clg0034,102.0,8.22,7.77,1.0,yes,3.0,8.0,3.0,no,2.0
clg0058,130.0,8.05,7.67,2.0,no,7.0,1.0,1.0,no,5.0
clg0062,131.0,7.8,7.46,9.0,no,8.0,3.0,3.0,no,3.0
clg0087,120.0,5.75,6.13,6.0,no,3.0,4.0,1.0,no,5.0
clg0093,99.0,8.7,8.77,6.0,no,5.0,2.0,5.0,no,1.0
clg0025,113.0,7.58,7.66,3.0,yes,9.0,1.0,2.0,no,4.0
clg0099,132.0,8.27,7.93,4.0,no,4.0,3.0,4.0,no,2.0
clg0084,101.0,5.18,4.82,10.0,no,3.0,5.0,4.0,no,1.0
clg0079,99.0,5.31,7.56,9.0,no,3.0,5.0,5.0,no,1.0
clg0089,99.0,5.78,5.6,4.0,no,8.0,4.0,3.0,no,3.0
clg0023,115.0,7.98,8.1,7.0,no,8.0,3.0,3.0,yes,3.0
clg0005,112.0,6.02,6.33,6.0,no,5.0,7.0,4.0,no,2.0
clg0022,59.0,9.75,9.31,10.0,yes,1.0,10.0,1.0,no,5.0
clg0081,76.0,8.37,8.66,9.0,no,0.0,2.0,1.0,no,5.0
clg0071,102.0,8.22,8.04,3.0,yes,4.0,6.0,4.0,no,1.0
clg0020,97.0,5.39,5.2,6.0,no,0.0,4.0,0.0,no,5.0
clg0033,78.0,7.55,8.88,7.0,no,5.0,1.0,3.0,no,3.0
clg0083,91.0,5.55,5.08,7.0,yes,5.0,10.0,0.0,no,5.0
clg0065,90.0,7.03,7.23,3.0,no,3.0,5.0,3.0,no,1.0
clg0062,104.0,9.72,10.04,4.0,no,5.0,3.0,0.0,no,6.0
clg0049,89.0,9.25,9.74,9.0,yes,1.0,10.0,3.0,yes,3.0
clg0027,94.0,5.98,5.81,3.0,yes,6.0,2.0,0.0,no,6.0
clg0004,118.0,8.02,7.56,7.0,no,7.0,2.0,2.0,no,4.0
clg0062,82.0,8.76,7.56,5.0,yes,4.0,7.0,4.0,no,2.0
clg0080,66.0,9.55,9.29,3.0,yes,2.0,8.0,4.0,yes,2.0
clg0094,98.0,5.7,5.61,7.0,no,8.0,8.0,3.0,no,3.0
clg0004,89.0,8.04,8.07,9.0,yes,2.0,8.0,3.0,yes,3.0
clg0041,104.0,8.13,8.25,2.0,yes,10.0,10.0,1.0,no,4.0
clg0044,80.0,8.02,7.76,1.0,yes,5.0,7.0,2.0,no,4.0
clg0076,130.0,5.24,5.12,10.0,yes,6.0,1.0,3.0,no,3.0
clg0004,114.0,9.58,7.56,4.0,yes,5.0,4.0,0.0,no,6.0
clg0071,87.0,6.96,7.56,10.0,yes,0.0,1.0,2.0,no,4.0
clg0048,108.0,7.55,8.29,8.0,no,3.0,8.0,2.0,yes,4.0
clg0032,111.0,7.62,7.58,10.0,no,8.0,8.0,4.0,yes,2.0
